
DisplayName                                                                                  DisplayVersion   Publisher
-----------                                                                                  --------------   ---------
.NET for Android Templates (x64)                                                             35.0.101.0       Micros...
.NET for Android Templates (x64)                                                             36.1.43.0        Micros...
.NET for Android Templates (x64)                                                             35.0.78.0        Micros...
.NET MAUI SDK (x64)                                                                          9.0.82.0         Micros...
.NET MAUI SDK (x64)                                                                          9.0.120.0        Micros...
.NET MAUI SDK (x64)                                                                          10.0.20.0        Micros...
.NET MAUI SDK (x64)                                                                          9.0.111.0        Micros...
.NET MAUI SDK (x64)                                                                          9.0.82.0         Micros...
.NET MAUI SDK (x64)                                                                          8.0.100.0        Micros...
.NET MAUI Templates (x64)                                                                    9.0.82.0         Micros...
.NET MAUI Templates (x64)                                                                    9.0.82.0         Micros...
.NET MAUI Templates (x64)                                                                    9.0.111.0        Micros...
.NET MAUI Templates (x64)                                                                    9.0.120.0        Micros...
.NET MAUI Templates (x64)                                                                    10.0.20.0        Micros...
.NET MAUI Templates (x64)                                                                    8.0.100.0        Micros...
64 Bit HP CIO Components Installer                                                           13.2.1           Hewlet...
Adobe Acrobat (64-bit)                                                                       26.001.21677     Adobe    
Adobe Illustrator 2025                                                                       29.3.1           Adobe ...
Adobe Lightroom Classic                                                                      14.2             Adobe ...
Adobe Photoshop 2025                                                                         26.4.1.194       Adobe ...
Adobe Refresh Manager                                                                        1.8.0            Adobe ...
Advanced IP Scanner 2.5.1                                                                    2.5.4594.1       Famatech 
AIDA64 Extreme v7.70                                                                         7.70             FinalW...
AIDA64 Extreme v8.30 (64-bit)                                                                8.30             FinalW...
AMD Chipset Software                                                                         7.06.02.123      Advanc...
AMD GPIO2 Driver                                                                             2.2.0.134        Advanc...
AMD PSP Driver                                                                               5.39.0.0         Advanc...
AMD Ryzen Balanced Driver                                                                    8.0.0.13         Advanc...
AMD Ryzen Master                                                                             2.14.2.3341      Advanc...
AMD Ryzen Master                                                                             2.14.2.3341      Advanc...
AMD SBxxx SMBus Driver                                                                       5.12.0.44        Advanc...
AMD Software                                                                                 26.1.1           Advanc...
AMD_Chipset_Drivers                                                                          7.06.02.123      Advanc...
Android Studio                                                                               2025.2           Google...
AnyDesk                                                                                      ad 9.7.6         AnyDes...
AOMEI Partition Assistant 10.11.0                                                            10.11.0          AOMEI ...
Application Verifier x64 External Package (DesktopEditions)                                  10.1.22621.5040  Microsoft
Application Verifier x64 External Package (DesktopEditions)                                  10.1.26100.8249  Microsoft
